symbol,exchange,company_name,isin,face_value,status,group,instrument,listing_date,market_lot,paid_up_value,security_code
RATNAMANI,BSE,Ratnamani Metals & Tubes Ltd,INE703B01027,2.00,Active,A ,Equity,,,,520111
VESUVIUS,BSE,Vesuvius India Ltd.,INE386A01023,1.00,Active,A ,Equity,,,,520113
BRAKAUT,BSE,Brakes Auto (India) Ltd.,INE222G01019,10.00,Delisted,Z ,Equity,,,,520115
SUNKU,BSE,Sunku Auto Ltd.,INE723B01017,10.00,Delisted,XD,Equity,,,,520117
ASAL,BSE,Automotive Stampings and Assemblies Ltd.,INE900C01027,10.00,Active,B ,Equity,,,,520119
ARCEEIN,BSE,Arcee Indusrtries ltd.,INE276D01012,10.00,Active,X ,Equity,,,,520121
ABCINDQ,BSE,ABC India Ltd.,INE125D01011,10.00,Active,X ,Equity,,,,520123
DESIGNAU,BSE,Design Auto Systems Ltd,INE993B01016,10.00,Delisted,XD,Equity,,,,520125
BALTE,BSE,Balurghat Technologies Ltd.,INE654B01014,10.00,Active,X ,Equity,,,,520127
COARO,BSE,Coastal Roadways Ltd.,INE229E01019,10.00,Active,P ,Equity,,,,520131
